"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-19","70","39","68"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-20","71","38","66"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-21","74","61","68"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-22","74","45","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-23","74","53","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-24","74","53","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-25","74","53","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-26","73","53","66"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-27","71","56","62"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-28","74","53","60"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-29","74","52","62"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-30","74","51","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-01",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-02",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-03","73","50","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-04","74","51","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-05","59","53","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-06","60","51","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-07",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-08",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-09",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-10","71","52","60"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-11","71","52","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-12","70","52","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-13",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-14",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-15","80","46","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-16",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-17",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-18","80","40","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-19",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-20",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-21",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-10-22",,,
